project,#u_classes,#d_classes,#de_classes,#dne_classes,#dw_classes,#dnw_classes,#uv_classes,#dv_classes,#dev_classes,#dnev_classes,#dwv_classes,#dnwv_classes,#u_sloc,#d_sloc,#de_sloc,#dne_sloc,#dw_sloc,#dnw_sloc,#uv_classes_sloc,#dv_classes_sloc,#dev_classes_sloc,#dnev_classes_sloc,#dwv_classes_sloc,#dnwv_classes_sloc,#uv_p1_r1,#uv_p1_r2,#uv_p1_r3,#uv_p1_r4,#uv_p2_r1,#uv_p2_r2,#uv_p2_r3,#uv_p2_r4,#uv_p3_r1,#uv_p3_r2,#uv_p3_r3,#uv_p3_r4,#dv_p1_r1,#dv_p1_r2,#dv_p1_r3,#dv_p1_r4,#dv_p2_r1,#dv_p2_r2,#dv_p2_r3,#dv_p2_r4,#dv_p3_r1,#dv_p3_r2,#dv_p3_r3,#dv_p3_r4,#dev_p1_r1,#dev_p1_r2,#dev_p1_r3,#dev_p1_r4,#dev_p2_r1,#dev_p2_r2,#dev_p2_r3,#dev_p2_r4,#dev_p3_r1,#dev_p3_r2,#dev_p3_r3,#dev_p3_r4,#dnev_p1_r1,#dnev_p1_r2,#dnev_p1_r3,#dnev_p1_r4,#dnev_p2_r1,#dnev_p2_r2,#dnev_p2_r3,#dnev_p2_r4,#dnev_p3_r1,#dnev_p3_r2,#dnev_p3_r3,#dnev_p3_r4,#dwv_p1_r1,#dwv_p1_r2,#dwv_p1_r3,#dwv_p1_r4,#dwv_p2_r1,#dwv_p2_r2,#dwv_p2_r3,#dwv_p2_r4,#dwv_p3_r1,#dwv_p3_r2,#dwv_p3_r3,#dwv_p3_r4,#dnwv_p1_r1,#dnwv_p1_r2,#dnwv_p1_r3,#dnwv_p1_r4,#dnwv_p2_r1,#dnwv_p2_r2,#dnwv_p2_r3,#dnwv_p2_r4,#dnwv_p3_r1,#dnwv_p3_r2,#dnwv_p3_r3,#dnwv_p3_r4
forcedotcom.SalesforceCanvasFrameworkSDK,14,1583,73,1510,73,1510,4,166,10,156,10,156,667,86463,3475,82988,3475,82988,259,23700,1041,22659,1041,22659,0,0,1,0,0,0,3,0,0,0,0,4,0,0,34,3,0,0,118,162,0,0,0,151,0,0,7,1,0,0,13,13,0,0,0,0,0,0,27,2,0,0,105,149,0,0,0,151,0,0,7,1,0,0,13,13,0,0,0,0,0,0,27,2,0,0,105,149,0,0,0,151
forge.core,1327,12981,824,12157,3536,9445,71,902,55,847,259,643,35436,586499,36225,550532,128945,457812,5278,134771,7729,127042,31205,103566,0,0,4,11,0,0,55,18,0,0,0,45,0,0,51,913,0,0,812,1430,0,0,0,707,0,0,0,1,0,0,85,12,0,0,0,52,0,0,51,912,0,0,727,1418,0,0,0,655,0,0,27,5,0,0,271,106,0,0,0,243,0,0,24,908,0,0,541,1324,0,0,0,464
fozziethebeat.S-Space,970,1595,0,1595,0,1595,154,1,0,1,0,1,38328,78704,0,78704,0,78704,11227,14,0,14,0,14,0,0,24,0,0,0,176,50,0,0,0,120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
fpj.zookeeper-book-example,84,885,233,652,862,23,34,169,11,158,166,3,918,28324,5722,22602,27458,866,892,15443,690,14753,15272,171,0,0,0,0,0,0,8,0,0,0,0,71,0,0,7,6,0,0,68,53,0,0,0,322,0,0,1,4,0,0,10,0,0,0,0,0,0,0,6,2,0,0,58,53,0,0,0,322,0,0,7,6,0,0,68,51,0,0,0,319,0,0,0,0,0,0,0,2,0,0,0,3
francesco-ficarola.gexf4j,70,1894,1690,204,1690,204,2,61,44,17,44,17,1679,46747,30369,16378,30369,16378,95,6222,4408,1814,4408,1814,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,60,0,0,15,26,0,0,0,42,0,0,7,0,0,0,9,1,0,0,0,39,0,0,0,60,0,0,6,25,0,0,0,3,0,0,7,0,0,0,9,1,0,0,0,39,0,0,0,60,0,0,6,25,0,0,0,3
frandallfarmer.neohabitat,1996,854,111,743,85,769,57,0,0,0,0,0,79264,37548,10146,27402,3112,34436,7742,0,0,0,0,0,0,0,26,6,0,0,40,47,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
franks42.clj-ns-browser,5,3114,3089,25,0,3114,0,24,24,0,0,24,46,28774,28574,200,0,28774,0,2650,2650,0,0,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19,5,0,0,0,5,0,0,0,2,0,0,19,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19,5,0,0,0,5
fredgeorge.microservice_workshop,0,496,490,6,155,341,0,16,14,2,3,13,0,7947,7585,362,2896,5051,0,1022,715,307,189,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,13,0,0,0,4,0,0,0,1,0,0,8,13,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,8,12,0,0,0,2
Free-Software-for-Android.NTPSync,41,0,0,0,0,0,2,0,0,0,0,0,1984,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frohoff.ysoserial,35200,26429,7623,18806,7623,18806,2170,0,0,0,0,0,1241756,950813,169452,800798,269778,681035,275646,0,0,0,0,0,0,0,231,181,0,0,1530,1359,0,0,0,2277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
