,dependency,enterprise,well_known,used_projects,contributors_in_used_projects,cves,spotbugs_vuls
194,org_springframework_boot_spring-boot-starter-security_1.5.7.RELEASE_spring-boot-starter-security-1.5.7.RELEASE.jar,0,0,1,50,2,0
195,com_google_guava_guava_23.0_guava-23.0.jar,1,1,24,893,1,60
196,org_springframework_boot_spring-boot-starter-actuator_1.5.7.RELEASE_spring-boot-starter-actuator-1.5.7.RELEASE.jar,0,0,1,50,2,0
197,org_slf4j_jcl-over-slf4j_1.7.5_jcl-over-slf4j-1.7.5.jar,0,0,5,80,0,21
198,org_slf4j_log4j-over-slf4j_1.7.5_log4j-over-slf4j-1.7.5.jar,0,0,1,50,0,11
199,org_hibernate_javax_persistence_hibernate-jpa-2.1-api_1.0.0.Final_hibernate-jpa-2.1-api-1.0.0.Final.jar,0,1,10,144,0,1
200,org_slf4j_jul-to-slf4j_1.7.5_jul-to-slf4j-1.7.5.jar,0,0,3,84,0,5
201,io_swagger_swagger-annotations_1.5.4_swagger-annotations-1.5.4.jar,1,0,1,50,0,0
202,org_springframework_boot_spring-boot-starter-web_1.5.7.RELEASE_spring-boot-starter-web-1.5.7.RELEASE.jar,0,0,2,53,2,0
203,org_scalanlp_breeze_2.11_0.12_breeze_2.11-0.12.jar,0,0,2,58,0,268
204,org_scala-lang_scala-compiler_2.11.8_scala-compiler-2.11.8.jar,0,0,4,143,1,247
205,org_apache_commons_commons-math3_3.4.1_commons-math3-3.4.1.jar,1,1,6,339,0,39
206,org_threeten_threeten-extra_0.9_threeten-extra-0.9.jar,1,0,2,58,0,1
207,org_scala-lang_scalap_2.11.8_scalap-2.11.8.jar,0,0,3,109,0,10
208,org_scalanlp_breeze-viz_2.11_0.12_breeze-viz_2.11-0.12.jar,0,0,2,58,0,26
209,junit_junit_4.8.1_junit-4.8.1.jar,1,1,5,41,0,11
210,org_jparsec_jparsec_3.2-SNAPSHOT_jparsec-3.2-SNAPSHOT.jar,0,0,1,12,0,4
211,org_apache_hadoop_hadoop-common_2.0.0-cdh4.2.1_hadoop-common-2.0.0-cdh4.2.1.jar,0,0,1,2,4,670
212,junit_junit_4.10_junit-4.10.jar,1,1,11,197,0,13
213,org_apache_hbase_hbase_0.94.2-cdh4.2.1_hbase-0.94.2-cdh4.2.1.jar,0,1,1,2,0,2118
214,storm_storm_0.8.2_storm-0.8.2.jar,0,0,1,2,0,256
215,joda-time_joda-time_2.1_joda-time-2.1.jar,1,0,10,163,0,20
216,com_google_bitcoinj_0.11.3_bitcoinj-0.11.3.jar,1,1,1,4,0,252
217,org_hamcrest_hamcrest-all_1.3_hamcrest-all-1.3.jar,0,0,8,181,0,36
218,org_slf4j_log4j-over-slf4j_1.7.12_log4j-over-slf4j-1.7.12.jar,0,0,3,97,0,11
219,com_google_cloud_bigtable_bigtable-hbase-beam_1.11.0_bigtable-hbase-beam-1.11.0.jar,0,1,1,36,0,12
220,io_opencensus_opencensus-contrib-zpages_0.19.2_opencensus-contrib-zpages-0.19.2.jar,1,0,1,36,0,1
221,org_apache_beam_beam-runners-direct-java_2.1.0_beam-runners-direct-java-2.1.0.jar,1,1,1,36,0,197
222,org_slf4j_jcl-over-slf4j_1.7.7_jcl-over-slf4j-1.7.7.jar,0,0,10,442,0,21
223,com_google_cloud_bigtable_bigtable-hbase-1.x_1.9.0_bigtable-hbase-1.x-1.9.0.jar,0,1,1,36,0,0
224,io_opencensus_opencensus-exporter-trace-stackdriver_0.19.2_opencensus-exporter-trace-stackdriver-0.19.2.jar,1,0,1,36,0,0
225,com_google_cloud_bigtable_bigtable-hbase-1.x_1.0.0_bigtable-hbase-1.x-1.0.0.jar,0,1,1,36,0,0
226,jstl_jstl_1.2_jstl-1.2.jar,0,0,19,339,0,59
227,com_google_guava_guava_27.0.1-jre_guava-27.0.1-jre.jar,1,1,16,672,0,63
228,org_slf4j_slf4j-simple_1.7.21_slf4j-simple-1.7.21.jar,0,0,5,142,0,3
229,com_google_cloud_bigtable_bigtable-hbase-dataflow_1.0.0_bigtable-hbase-dataflow-1.0.0.jar,0,1,1,36,0,13
230,commons-cli_commons-cli_1.4_commons-cli-1.4.jar,1,1,24,708,0,1
231,com_google_appengine_appengine-api-1.0-sdk_1.9.26_appengine-api-1.0-sdk-1.9.26.jar,0,1,1,36,0,851
232,com_google_cloud_bigtable_bigtable-hbase-dataflow_1.7.0_bigtable-hbase-dataflow-1.7.0.jar,0,1,1,36,0,13
233,com_google_cloud_google-cloud-trace_0.80.0-beta_google-cloud-trace-0.80.0-beta.jar,1,1,1,36,0,0
234,org_eclipse_jetty_websocket_websocket-client_9.3.0.M2_websocket-client-9.3.0.M2.jar,1,1,1,36,0,2
235,org_slf4j_slf4j-simple_1.7.24_slf4j-simple-1.7.24.jar,0,0,4,51,0,3
236,joda-time_joda-time_2.8.2_joda-time-2.8.2.jar,1,0,7,98,0,22
237,org_apache_beam_beam-runners-google-cloud-dataflow-java_2.4.0_beam-runners-google-cloud-dataflow-java-2.4.0.jar,1,1,1,36,0,190
238,io_opencensus_opencensus-contrib-grpc-metrics_0.19.2_opencensus-contrib-grpc-metrics-0.19.2.jar,1,0,1,36,0,0
239,com_google_cloud_dataflow_google-cloud-dataflow-java-sdk-all_1.9.1_google-cloud-dataflow-java-sdk-all-1.9.1.jar,1,1,1,36,0,331
240,com_google_cloud_google-cloud-monitoring_0.26.0-alpha_google-cloud-monitoring-0.26.0-alpha.jar,1,1,1,36,0,0
241,com_google_cloud_bigtable_bigtable-hbase-mapreduce_1.0.0_bigtable-hbase-mapreduce-1.0.0.jar,0,1,1,36,0,5
242,org_slf4j_slf4j-log4j12_1.7.5_slf4j-log4j12-1.7.5.jar,0,0,26,566,0,27
243,io_opencensus_opencensus-exporter-stats-stackdriver_0.19.2_opencensus-exporter-stats-stackdriver-0.19.2.jar,1,0,1,36,0,1
244,org_slf4j_slf4j-api_1.7.24_slf4j-api-1.7.24.jar,0,0,8,151,0,56
245,org_assertj_assertj-core_3.2.0_assertj-core-3.2.0.jar,1,0,1,36,1,25
246,com_google_cloud_bigtable_bigtable-client-core_1.0.0_bigtable-client-core-1.0.0.jar,0,1,1,36,0,33
247,org_slf4j_slf4j-jdk14_1.7.5_slf4j-jdk14-1.7.5.jar,0,0,1,36,0,1
248,io_grpc_grpc-auth_1.17.1_grpc-auth-1.17.1.jar,1,0,1,36,0,0
249,org_apache_beam_beam-runners-google-cloud-dataflow-java_2.1.0_beam-runners-google-cloud-dataflow-java-2.1.0.jar,1,1,1,36,0,172
250,com_google_cloud_bigtable_bigtable-hbase-beam_1.0.0-pre4_bigtable-hbase-beam-1.0.0-pre4.jar,0,1,1,36,0,12
251,io_netty_netty-tcnative-boringssl-static_2.0.20.Final_netty-tcnative-boringssl-static-2.0.20.Final.jar,1,0,1,36,0,4
252,io_opencensus_opencensus-api_0.19.2_opencensus-api-0.19.2.jar,1,0,1,36,0,0
253,org_json_json_20140107_json-20140107.jar,0,0,11,213,0,3
254,com_google_guava_guava_18.0_guava-18.0.jar,1,1,64,1395,1,56
255,org_springframework_boot_spring-boot-configuration-processor_1.5.8.RELEASE_spring-boot-configuration-processor-1.5.8.RELEASE.jar,0,0,2,72,2,4
256,com_google_guava_guava_22.0_guava-22.0.jar,1,1,3,88,1,59
